Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.161219_0157.S.046844.061035N3413.0060.nh.fits,123,718.081273148,92.654844207,-34.1411153228,-0.839601914133,-0.798659650141,nan,nan,22.8805815146
N2188-1.Q2.B.161115_0136.S.041269.061035N3413.0060.nh.fits,124,684.067106481,92.6548347131,-34.1412007498,-15.8773290153,-1.36919793872,nan,nan,20.2717607827
N2188-1.Q2.B.170122_0124.C.051072.061035N3413.0060.nh.fits,125,752.05880787,92.654770465,-34.1410716236,38.5943032651,20.5792401834,20.2037306217,0.0539761701037,22.4344051331
N2188-1.Q2.B.161207_1553.A.036487.061035N3413.0060.nh.fits,126,706.662314815,92.65485658,-34.1411338917,nan,nan,nan,nan,20.8946456481
N2188-1.Q2.B.170318_2036.S.063768.061035N3413.0060.nh.fits,127,807.858530093,92.6548530899,-34.1411565612,nan,nan,nan,nan,21.31881064
N2188-1.Q2.B.170404_1928.S.002492.061035N3413.0060.nh.fits,128,824.811354167,92.6548185046,-34.1411145043,11.6853892272,5.39207803882,21.5071572377,0.204963214167,22.2348015821
N2188-1.Q2.B.161106_1528.A.031913.061035N3413.0060.nh.fits,129,675.644618056,92.65517974,-34.1410886611,0.564308188459,0.395124531046,24.8132678362,2.79500992539,22.636488506
N2188-1.Q2.B.170305_1956.S.060475.061035N3413.0060.nh.fits,130,794.830821759,92.6547326858,-34.1411209475,20.9590506144,14.6072617566,20.8697914375,0.0758914683123,22.7620130192
N2188-1.Q2.B.170327_1134.A.050484.061035N3413.0060.nh.fits,131,816.482476852,92.6547542824,-34.1411057896,15.8317903164,11.6294177188,21.1758574795,0.0952055706863,22.7502710965
N2188-1.Q2.B.170116_1923.S.050908.061035N3413.0060.nh.fits,132,746.807673611,92.654748935,-34.1411024721,50.968832121,22.9088229731,19.9003275506,0.0485335512008,22.2578485365
N2188-1.Q2.B.161104_1654.A.031492.061035N3413.0060.nh.fits,133,673.704224537,92.6555970998,-34.1409441238,3.57894415421,1.0835377896,22.7980445496,1.01908498057,21.688197976
N2188-1.Q2.B.170315_0952.A.049328.061035N3413.0060.nh.fits,134,804.411747685,92.654746169,-34.1411244796,41.6670226063,9.04596051847,20.1201582327,0.122291817848,21.3745511368
N2188-1.Q2.B.170109_0533.C.048160.061035N3413.0060.nh.fits,135,739.231388889,92.6547566284,-34.1410975623,43.6414782959,38.3187491467,20.0696494863,0.0292879250524,23.3413520616
N2188-1.Q2.B.170109_0744.C.048221.061035N3413.0060.nh.fits,136,739.322650463,92.6547493166,-34.141082327,44.6454750088,41.1164907491,20.0448359635,0.0273438818733,23.7032716645
N2188-1.Q2.B.170329_0046.C.000336.061035N3413.0060.nh.fits,137,818.0321875,92.6548097546,-34.1411230692,11.6560204632,11.3872335392,21.5099025563,0.0972229533577,23.0838741103
N2188-1.Q2.B.170503_0858.A.056987.061035N3413.0060.nh.fits,138,853.3740625,92.6548166948,-34.1411190932,nan,nan,nan,nan,19.6623131232
N2188-1.Q2.B.170321_0040.C.063637.061035N3413.0060.nh.fits,139,810.027835648,92.6547389994,-34.1410985607,12.6759138731,16.0704887305,21.4183929623,0.0690218646031,23.5035856211
N2188-1.Q2.B.170111_0742.C.048706.061035N3413.0060.nh.fits,140,741.32150463,92.6547606645,-34.1410572052,61.8005285797,28.3067180462,19.6901045326,0.0394253830448,22.291094241
N2188-1.Q2.B.161116_0754.C.037424.061035N3413.0060.nh.fits,141,685.329212963,92.6542668992,-34.1414551319,0.359848589923,0.769270585525,25.3041039622,1.43643420245,23.8700952422
N2188-1.Q2.B.170307_1023.A.048047.061035N3413.0060.nh.fits,142,796.43275463,92.6548446442,-34.1411487286,19.5320358971,5.50894912314,20.9467191583,0.200551313611,21.6307897139
N2188-1.Q2.B.161201_0622.C.040354.061035N3413.0060.nh.fits,143,700.265775463,92.6548820346,-34.1411516571,-0.321466014734,-0.778506384752,nan,nan,24.0082950053
N2188-1.Q2.B.161219_1252.A.038299.061035N3413.0060.nh.fits,144,718.536539352,92.6548258483,-34.1411211081,-1.65292999057,-1.04207971208,nan,nan,22.5154982205
N2188-1.Q2.B.170220_0425.C.056888.061035N3413.0060.nh.fits,145,781.184594907,92.6547428687,-34.1410838251,20.4697966987,24.609788171,20.8955597272,0.0452596150604,23.7457272398
N2188-1.Q2.B.161218_0153.S.046596.061035N3413.0060.nh.fits,146,717.078784722,92.6548690267,-34.1413129015,1.14904663458,0.357730385134,24.0375087234,3.08679048541,21.7280016991
