Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.B.161219_1722.A.038421.061035N3413.0060.nh.fits,2016-12-19T17:22:00.000,A,116,353.723946759,92.6548818018,-34.1411485834,nan,nan,nan,nan,20.7288585273,5.00000527829,1.16038882191,0.0279500295532,0.00565236738232
N2188-1.Q2.B.161217_1616.A.038005.061035N3413.0060.nh.fits,2016-12-17T16:16:00.000,A,117,351.677847222,92.6548709928,-34.1411127466,nan,nan,nan,nan,20.8207394012,5.00000527829,1.16038882191,0.0279500295532,0.00565236738232
N2188-1.Q2.B.161106_1528.A.031913.061035N3413.0060.nh.fits,2016-11-06T15:28:00.000,A,118,310.644606481,92.6547853312,-34.141181343,nan,nan,nan,nan,23.0588107395,5.00000527829,1.16038882191,0.0279500295532,0.00565236738232
N2188-1.Q2.B.170307_0312.C.060388.061035N3413.0060.nh.fits,2017-03-07T03:12:00.000,C,119,431.133773148,92.6547962295,-34.1410994223,51.4160543347,17.7815285811,19.8907968634,0.0622380123647,22.660901045,4.56525436418,3.0,0.0562381347274,0.00958731136932
N2188-1.Q2.B.170330_0132.C.000628.061035N3413.0060.nh.fits,2017-03-30T01:32:00.000,C,120,454.063981481,92.6547921864,-34.1411812476,nan,nan,nan,nan,5.06066693173,4.56525436418,3.0,0.0562381347274,0.00958731136932
N2188-1.Q2.B.170404_1928.S.002492.061035N3413.0060.nh.fits,2017-04-04T19:28:00.000,S,121,459.811342593,92.654717335,-34.1410724788,13.6656127709,9.50315932434,21.3363765877,0.11616908015,22.3150388742,4.28310419202,0.91325904601,0.105228163169,0.0163093006291
N2188-1.Q2.B.170301_0221.C.058995.061035N3413.0060.nh.fits,2017-03-01T02:21:00.000,C,122,425.098530093,92.6547619562,-34.1411080399,31.8355156472,27.2826965869,20.4137622487,0.040665354545,23.1051817688,4.74399493128,1.14881441184,0.0366532683753,0.00678104060377
N2188-1.Q2.B.170227_1855.S.058875.061035N3413.0060.nh.fits,2017-02-27T18:55:00.000,S,123,423.788738426,92.6547732117,-34.1411174923,31.7189443583,23.1170257782,20.4177642755,0.0479315996444,22.7849023563,4.71078556235,1.12548594609,0.043258160007,0.0076864244005
N2188-1.Q2.B.170329_2026.S.000736.061035N3413.0060.nh.fits,2017-03-29T20:26:00.000,S,124,453.852025463,92.6548702109,-34.1411905494,nan,nan,nan,nan,22.1758842968,4.71078556235,1.12548594609,0.043258160007,0.0076864244005
N2188-1.Q2.B.170320_0235.C.063430.061035N3413.0060.nh.fits,2017-03-20T02:35:00.000,C,125,444.108252315,92.6547498804,-34.1410944892,22.5923393744,20.362314093,20.7879263704,0.0543706959496,22.9139263891,4.9160572522,0.993117835552,0.0491103317351,0.00848560245811
